0	1115
1	339
2	415
3	1984
4	1207
5	465
6	95
7	413
8	1468
9	54
10	620
11	339
12	339
13	1468
14	744
15	413
16	192
17	763
18	330
19	99
20	1242
21	1115
22	1047
23	183
24	207
25	415
26	465
27	498
28	1672
29	1528
30	1316
31	1316
32	330
33	1596
34	655
35	1063
36	1488
37	2009
38	112
39	620
40	54
41	594
42	1188
43	1394
44	690
45	1316
46	209
47	1770
48	534
49	2062
50	1672
51	1085
52	134
53	1602
54	1837
55	54
56	1984
57	1940
58	1961
59	752
60	1171
61	763
62	384
63	1260
64	105
65	742
66	2074
67	318
68	1940
69	752
70	752
71	1664
72	264
73	788
74	1815
75	1570
76	1047
77	1775
78	1504
79	931
80	1560
81	1085
82	849
83	1938
84	1984
85	1984
86	1080
87	384
88	1387
89	262
90	1551
91	1847
92	549
93	969
94	1948
95	1316
96	1316
97	1840
98	183
99	494
100	1406
101	1504
102	1984
103	503
104	106
105	1986
106	1602
107	1434
108	1602
109	1948
110	1147
111	1026
112	1581
113	410
114	870
115	1406
116	397
117	1067
118	38
119	374
120	1588
121	594
122	1085
123	777
124	861
125	746
126	503
127	1820
128	502
129	1316
130	763
131	134
132	305
133	1504
134	1302
135	1915
136	99
137	594
138	465
139	850
140	854
141	384
142	1468
143	1140
144	2046
145	315
146	1299
147	153
148	1067
149	1469
150	2004
151	1707
152	1147
153	1631
154	1234
155	887
156	339
157	503
158	512
159	882
160	1741
161	1184
162	1316
163	549
164	1927
165	136
166	209
167	1188
168	1588
169	461
170	106
171	1240
172	605
173	339
174	1028
175	54
176	2062
177	1041
178	1631
179	1212
180	2066
181	726
182	1161
183	1413
184	1085
185	1942
186	1847
187	3
188	2046
189	1829
190	512
191	2009
192	746
193	2
194	1366
195	1734
196	1602
197	832
198	150
199	1596
200	1990
201	1990
202	1940
203	150
204	1990
205	223
206	79
207	1942
208	469
209	870
210	1761
211	1191
212	319
213	1157
214	106
215	382
216	975
217	1085
218	742
219	1171
220	1961
221	789
222	1972
223	1220
224	1739
225	605
226	106
227	1220
228	1857
229	1986
230	1461
231	1242
232	377
233	709
234	1137
235	854
236	99
237	746
238	99
239	1889
240	1316
241	719
242	287
243	99
244	209
245	1063
246	1406
247	1115
248	709
249	99
250	1115
251	1781
252	1385
253	1523
254	989
255	1716
256	69
257	1714
258	1101
259	1551
260	1168
261	921
262	539
263	428
264	1915
265	1171
266	1161
267	1212
268	172
269	1468
270	321
271	1672
272	1516
273	1230
274	640
275	1997
276	1413
277	1673
278	512
279	929
280	1329
281	318
282	1171
283	911
284	1317
285	1701
286	99
287	1892
288	48
289	1419
290	575
291	929
292	1026
293	1242
294	1207
295	1242
296	1242
297	1103
298	1101
299	1265
300	1067
301	437
302	903
303	9
304	1504
305	1530
306	763
307	655
308	1781
309	1672
310	134
311	747
312	1028
313	782
314	2009
315	1171
316	782
317	1387
318	2066
319	1041
320	69
321	806
322	54
323	587
324	1543
325	209
326	746
327	134
328	1212
329	1857
330	315
331	1927
332	1781
333	1028
334	1543
335	1575
336	263
337	143
338	1413
339	624
340	1651
341	1857
342	134
343	1147
344	512
345	1847
346	1884
347	1648
348	1320
349	1378
350	1320
351	1672
352	90
353	1781
354	90
355	801
356	1819
357	183
358	2066
359	192
360	2062
361	238
362	1341
363	230
364	668
365	1834
366	821
367	1004
368	76
369	1220
370	1712
371	377
372	22
373	382
374	742
375	690
376	1387
377	975
378	105
379	1395
380	1569
381	1651
382	72
383	1406
384	1184
385	850
386	163
387	1094
388	1302
389	76
390	1775
391	587
392	76
393	90
394	1536
395	2032
396	1942
397	311
398	415
399	587
400	1101
401	1282
402	2069
403	1216
404	468
405	446
406	106
407	1238
408	1140
409	1260
410	1692
411	2024
412	377
413	1151
414	221
415	1505
416	1648
417	777
418	1673
419	287
420	1063
421	1512
422	1097
423	563
424	1406
425	474
426	1820
427	849
428	1191
429	384
430	1223
431	1383
432	192
433	1140
434	827
435	1147
436	1299
437	1073
438	1589
439	428
440	1884
441	1413
442	801
443	382
444	652
445	1672
446	1067
447	587
448	232
449	882
450	679
451	1509
452	467
453	199
454	1085
455	209
456	503
457	1761
458	54
459	361
460	1316
461	1028
462	76
463	311
464	138
465	587
466	209
467	1621
468	1063
469	89
470	575
471	1707
472	580
473	209
474	764
475	1174
476	1041
477	832
478	1628
479	1763
480	2045
481	732
482	1834
483	1375
484	1250
485	1629
486	1884
487	802
488	1104
489	903
490	1588
491	1809
492	1468
493	1763
494	417
495	732
496	1119
497	183
498	1523
499	532
500	863
501	415
502	1740
503	707
504	1530
505	1819
506	1588
507	1287
508	1588
509	744
510	655
511	1176
512	384
513	1493
514	1716
515	209
516	1530
517	1226
518	1588
519	1884
520	1287
521	1970
522	764
523	482
524	870
525	1406
526	89
527	209
528	1305
